scid,node_1,node_2
950097893166612480,02253dee7c1a45ab049c4d8832f620df6c0f4b100751d86cd763ae7cc2804ab221,03c157946cc1cd376b929e36006e645fae490b1b1d4156b40db804e01b4bda48cd
995795795469926401,02c953421bc7f07be6052920e46843d11e6d3ffc9986177c91f140d76c6ed3a3d4,03735f17253cd6221cd36ed885f2b458ae673563b473d4b4b6399881a99b6dd17c
1011121888176308225,021499e09ebbfbe4225c87d3d19aa90efc7a0139465927638a35048c094130fe49,03de2de00fdc509e929d2621bcf6976fd72f685c863aab50a06faecaaf7f8f4f73
921211523814195201,026d665c34210fd99f9d4be36bcfbd7d637ae890631274d1f82cbf45af8cd8b2c6,0281d6f21551b0e2f733948bcd0ee5fcd258f949d0ab8d2c1418737d55dce2b88a
764239746166358016,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,033d2a647cd703a9a1b3a030c5ccd849706c8d480c09acd256cfd4cfa4529d98b7
1005217510667780097,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd
1009114179922624512,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,03fa29b8fbd483fb13ecc6d53700486d7c48372354e63d37f7687b45ccbb3f7340
1000638044780691457,026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331,03d35779ff612c574b92494d74300ce467e0eb510181a6ae3eb74d8ada891d82aa
966674130593185793,023623825bb995508e2cc11ceba695279e49e7742a182193cd3c5bd3f2f4057307,02e0af3c70bf42343316513e54683b10c01d906c04a05dfcd9479b90d7beed9129
615184452383539200,02b67e8e5cdb3d80dc38736ec0f6378b6199a99d769aeded2c3460f548de8822d9,031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403
773228253891264513,0235b43d6667dcfb27a35992e0fcccb7dd52d59106902f55df349c709bacd6dc4a,03d827f9e9ca9bd7864361b51ace77a1957ddd58a7fabff3f7658448a3e4f60975
